DHA,ID,11,21,22,23,24,31,41,42,43,52,71,81,82,90,95,Grand Total
2a,100,0,0,0,0,0,0,641,0,0,0,0,0,0,51,0,692
2a,101,0,0,0,0,0,0,638,0,3,0,0,0,0,54,0,695
2a,102,0,7,0,0,0,0,635,0,4,0,1,0,0,38,9,694
2a,103,0,10,0,0,0,0,630,0,5,0,1,0,0,39,9,694
2a,104,0,6,0,0,0,0,596,0,51,0,0,0,0,41,1,695
1,1,340,30,0,0,0,0,144,0,28,0,4,0,0,144,4,694
1,2,422,0,0,0,0,0,59,0,0,0,0,0,0,195,18,694
1,3,356,64,9,2,0,0,25,1,22,1,1,0,0,215,3,699
1,4,467,43,5,0,0,0,6,0,0,1,0,0,0,172,3,697
1,5,512,5,0,0,0,0,17,0,0,0,2,0,0,156,4,696
1,6,252,21,11,1,0,0,191,0,8,17,0,0,0,182,13,696
1,7,183,24,16,16,7,7,206,0,21,8,0,1,0,189,17,695
1,8,320,24,23,1,0,1,240,0,26,0,0,1,0,58,2,696
1,9,247,155,38,9,0,1,10,1,23,1,0,7,0,201,1,694
1,10,349,99,26,3,0,1,9,0,12,1,0,0,0,194,3,697
1,11,430,25,11,2,0,1,6,0,0,0,0,0,0,200,21,696
1,12,403,25,15,2,0,2,5,0,0,0,0,0,0,213,30,695
1,13,321,23,20,4,5,3,189,5,35,27,12,0,0,40,12,696
1,14,66,29,35,23,8,10,419,0,84,0,0,4,0,17,1,696
1,15,48,65,91,15,0,2,376,0,59,0,0,1,0,40,0,697
1,16,8,133,218,54,2,0,211,0,9,0,0,1,0,59,1,696
1,17,115,175,63,13,0,3,86,16,116,0,0,22,0,81,10,700
1,18,81,237,73,18,0,2,60,18,102,1,0,11,0,92,0,695
1,19,110,178,41,14,0,2,48,10,61,1,0,5,0,218,7,695
1,20,185,86,15,2,0,1,44,27,91,0,0,0,0,226,20,697
1,21,188,50,20,2,0,2,68,42,91,0,0,0,0,204,26,693
1,22,197,54,17,2,0,3,93,29,84,0,6,0,0,186,29,700
1,23,134,55,26,8,4,6,211,13,94,16,12,5,0,97,13,694
1,24,0,42,87,97,7,8,305,0,113,0,0,10,0,27,0,696
1,25,79,68,21,3,0,2,245,24,182,0,1,20,0,34,16,695
1,26,0,105,53,7,0,2,209,30,250,0,6,12,0,21,0,695
1,27,0,160,45,14,1,0,104,45,278,0,6,12,0,34,0,699
1,28,0,148,34,13,0,0,75,55,254,0,0,1,0,116,1,697
1,29,0,78,14,2,0,1,111,86,256,0,0,1,0,135,6,690
1,30,0,54,7,0,0,0,149,87,265,0,0,0,0,130,3,695
1,31,53,43,5,0,0,0,159,74,230,0,1,4,0,122,5,696
1,32,63,31,11,8,2,19,246,31,194,0,11,13,0,63,4,696
1,33,0,17,34,46,4,35,280,9,101,0,1,103,0,65,0,695
1,34,37,39,0,0,0,0,249,36,315,0,1,0,0,18,0,695
1,35,0,36,4,1,1,0,246,52,335,0,17,0,0,0,0,692
1,36,0,57,14,4,1,0,201,47,352,0,17,0,0,2,0,695
1,37,0,61,7,2,1,0,140,57,402,0,6,1,0,17,0,694
1,38,0,25,3,1,0,0,175,77,388,0,0,1,0,23,0,693
