Liver,Season,Sex,Age,Flukepa,NoFlukes,Taeniapa,NoBladderworms,Coinfectedpa,DHA,DHA.code,Liver.mass,area.km2,ann.harvest,deer.den,elev,elev.var,wet.mean,open.mean,dev.mean,devtot,decid.mean,evmix.mean,foredge.mean,devlo.mean,devmh.mean,wet2.mean,evmix2.mean,decid2.mean,grasscrop2.mean,devo.mean,intensity.mean,PC1,PC2
L096,2015,na,na,0,0,0,0,0,5,g,766,4.5986158,8.6,1.870127963,379.2485549,536.0308021,15.58328,12.978078,7.3233649,20.3014429,60.00199832,3.311499,0.799003,4.67616,2.6472049,8.803994,8.965867,61.51099,1.48339251,19.235762,50.168747,0.814890257,1.236553683
L097,2015,na,na,0,0,0,0,0,5,g,737,4.5986158,8.6,1.870127963,379.2485549,536.0308021,15.58328,12.978078,7.3233649,20.3014429,60.00199832,3.311499,0.799003,4.67616,2.6472049,8.803994,8.965867,61.51099,1.48339251,19.235762,50.168747,0.815678796,1.22566333
L108,2015,na,na,0,0,0,0,0,5,g,903,4.5986158,8.6,1.870127963,379.2485549,536.0308021,15.58328,12.978078,7.3233649,20.3014429,60.00199832,3.311499,0.799003,4.67616,2.6472049,8.803994,8.965867,61.51099,1.48339251,19.235762,50.168747,0.811165094,1.288001212
L143,2016,na,na,1,2,0,0,0,5,g,1052,4.5986158,8.6,1.870127963,379.2485549,536.0308021,15.58328,12.978078,7.3233649,20.3014429,60.00199832,3.311499,0.799003,4.67616,2.6472049,8.803994,8.965867,61.51099,1.48339251,19.235762,50.168747,0.807113638,1.343955095
L161,2016,na,na,1,13,0,0,0,5,g,1520,4.5986158,8.6,1.870127963,379.2485549,536.0308021,15.58328,12.978078,7.3233649,20.3014429,60.00199832,3.311499,0.799003,4.67616,2.6472049,8.803994,8.965867,61.51099,1.48339251,19.235762,50.168747,0.794388261,1.51970286
L163,2016,na,na,0,0,0,0,0,5,g,635,4.5986158,8.6,1.870127963,379.2485549,536.0308021,15.58328,12.978078,7.3233649,20.3014429,60.00199832,3.311499,0.799003,4.67616,2.6472049,8.803994,8.965867,61.51099,1.48339251,19.235762,50.168747,0.818452275,1.18735933
L212,2017,na,na,0,0,0,0,0,5,g,607,4.5986158,8.6,1.870127963,379.2485549,536.0308021,15.58328,12.978078,7.3233649,20.3014429,60.00199832,3.311499,0.799003,4.67616,2.6472049,8.803994,8.965867,61.51099,1.48339251,19.235762,50.168747,0.819213623,1.176844506
L213,2017,na,na,0,0,0,0,0,5,g,717,4.5986158,8.6,1.870127963,379.2485549,536.0308021,15.58328,12.978078,7.3233649,20.3014429,60.00199832,3.311499,0.799003,4.67616,2.6472049,8.803994,8.965867,61.51099,1.48339251,19.235762,50.168747,0.816222615,1.218152742
L214,2017,na,na,1,1,0,0,0,5,g,1307,4.5986158,8.6,1.870127963,379.2485549,536.0308021,15.58328,12.978078,7.3233649,20.3014429,60.00199832,3.311499,0.799003,4.67616,2.6472049,8.803994,8.965867,61.51099,1.48339251,19.235762,50.168747,0.800179939,1.439715095
L232,2018,na,na,0,0,0,0,0,5,g,671,4.5986158,8.6,1.870127963,379.2485549,536.0308021,15.58328,12.978078,7.3233649,20.3014429,60.00199832,3.311499,0.799003,4.67616,2.6472049,8.803994,8.965867,61.51099,1.48339251,19.235762,50.168747,0.8174734,1.200878389
L056,2015,na,na,1,8,0,0,0,6,h,1042,2.3790875,8,3.362633783,367.4961225,269.8124993,9.679527,9.347663,2.1487735,11.4964365,75.30424053,1.710242,1.801029,1.811538,0.3372355,8.663556,5.188343,73.2483,3.05833566,9.841462,40.177064,0.919301769,1.417415564
L079,2015,F,adult,0,0,0,0,0,6,h,1127,2.3790875,8,3.362633783,367.4961225,269.8124993,9.679527,9.347663,2.1487735,11.4964365,75.30424053,1.710242,1.801029,1.811538,0.3372355,8.663556,5.188343,73.2483,3.05833566,9.841462,40.177064,0.916990536,1.449335565
L080,2015,M,adult,0,0,0,0,0,6,h,2085,2.3790875,8,3.362633783,367.4961225,269.8124993,9.679527,9.347663,2.1487735,11.4964365,75.30424053,1.710242,1.801029,1.811538,0.3372355,8.663556,5.188343,73.2483,3.05833566,9.841462,40.177064,0.890941581,1.809092742
L087,2015,F,adult,1,4,0,0,0,6,h,1098,2.3790875,8,3.362633783,367.4961225,269.8124993,9.679527,9.347663,2.1487735,11.4964365,75.30424053,1.710242,1.801029,1.811538,0.3372355,8.663556,5.188343,73.2483,3.05833566,9.841462,40.177064,0.917779075,1.438445212
L098,2015,na,na,1,3,1,2,1,6,h,1377,2.3790875,8,3.362633783,367.4961225,269.8124993,9.679527,9.347663,2.1487735,11.4964365,75.30424053,1.710242,1.801029,1.811538,0.3372355,8.663556,5.188343,73.2483,3.05833566,9.841462,40.177064,0.910192792,1.543217918
L117,2015,M,adult,1,14,1,4,1,6,h,1389,2.3790875,8,3.362633783,367.4961225,269.8124993,9.679527,9.347663,2.1487735,11.4964365,75.30424053,1.710242,1.801029,1.811538,0.3372355,8.663556,5.188343,73.2483,3.05833566,9.841462,40.177064,0.9098665,1.547724271
L137,2016,F,na,1,1,0,0,0,6,h,1017,2.3790875,8,3.362633783,367.4961225,269.8124993,9.679527,9.347663,2.1487735,11.4964365,75.30424053,1.710242,1.801029,1.811538,0.3372355,8.663556,5.188343,73.2483,3.05833566,9.841462,40.177064,0.919981544,1.408027329
L179,2017,M,fawn,0,0,0,0,0,6,h,657,2.3790875,8,3.362633783,367.4961225,269.8124993,9.679527,9.347663,2.1487735,11.4964365,75.30424053,1.710242,1.801029,1.811538,0.3372355,8.663556,5.188343,73.2483,3.05833566,9.841462,40.177064,0.929770295,1.272836741
L222,2017,F,na,1,3,0,0,0,6,h,931,2.3790875,8,3.362633783,367.4961225,269.8124993,9.679527,9.347663,2.1487735,11.4964365,75.30424053,1.710242,1.801029,1.811538,0.3372355,8.663556,5.188343,73.2483,3.05833566,9.841462,40.177064,0.922319968,1.3757318
L122,2015,na,na,1,6,0,0,0,7a,i,1228,0.7921546,7.8,9.84656278,286.6450858,687.1368121,0.07569841,26.445149,16.6136755,43.0588245,50.45930665,1.7168716,4.662696,10.19859,6.4150855,0.2363958,17.607989,38.49761,12.40308302,31.254919,55.69234,-1.030276124,-0.455305929
L059,2015,na,na,1,1,0,0,0,7b,j,1403,0.8521894,9.2,10.79572217,266.521231,685.8054364,0.01165445,33.47772,19.6935257,53.1712457,38.89249475,4.4781606,3.446444,9.72569,9.9678357,0.01366289,27.786369,22.34219,15.21939955,34.638374,51.382844,-1.711207066,-0.871734853
L231,2018,F,1.5,1,1,0,0,0,7b,j,962,0.8521894,9.2,10.79572217,266.521231,685.8054364,0.01165445,33.47772,19.6935257,53.1712457,38.89249475,4.4781606,3.446444,9.72569,9.9678357,0.01366289,27.786369,22.34219,15.21939955,34.638374,51.382844,-1.699215846,-1.037343324
L246,2018,M,fawn,1,3,0,0,0,9a,k,1213,1.2126932,4.8,3.958132197,405.2255046,40.07490798,29.94661,14.001362,17.6952407,31.6966027,24.65570379,13.0977037,0.5663848,9.908834,7.7864067,19.42538,24.200317,32.36492,3.10825703,20.901118,32.627723,-1.255376622,1.770746774
L270,2018,M,fawn,0,0,0,0,0,9a,k,905,1.2126932,4.8,3.958132197,405.2255046,40.07490798,29.94661,14.001362,17.6952407,31.6966027,24.65570379,13.0977037,0.5663848,9.908834,7.7864067,19.42538,24.200317,32.36492,3.10825703,20.901118,32.627723,-1.247001801,1.655083715
L123,2015,na,na,1,3,1,4,1,9d,l,1396,0.3920152,3.8,9.693501681,404.738044,23.52651899,14.10601,40.06309,27.8790821,67.9421721,15.62392101,2.284021,0.02521979,20.852927,7.0261551,17.95347,15.680316,16.04593,2.66209642,47.658188,27.435841,-3.217934483,1.160508642
