liver,season,DHA,Sex,Age,Age,weight,fluke.inf,no.fluke,no.caps,Fluke.sa,taenia.inf,no.taenia,no.bladder,Coinfected
L208,2017,12B,M,NA,NA,1609,1,3,1,18732.46876,0,0,0,0
L261,2018,16B,M,NA,NA,1187,1,0,0,0,0,0,0,0
L139,2016,13,M,yearling,yearling,1116,0,0,0,0,0,0,0,0
L185,2017,12B,NA,fawn,fawn,587,0,0,0,0,0,0,0,0
L001,2014,NA,NA,NA,NA,1010,0,0,0,0,0,0,0,0
L002,2014,NA,NA,NA,NA,1860,1,3,1,22997.4007,0,0,0,0
L003,2014,NA,NA,NA,NA,1720,1,9,4,62347.82789,0,0,0,0
L004,2014,NA,NA,NA,NA,1460,0,0,0,0,0,0,0,0
L005,2014,NA,NA,NA,NA,721,0,0,0,0,0,0,0,0
L011,2014,NA,NA,NA,NA,1239,0,0,0,0,0,0,0,0
L012,2014,NA,NA,NA,NA,2153,1,9,4,67992.793,0,0,0,0
L013,2014,NA,NA,NA,NA,933,0,0,0,0,0,0,0,0
L014,2014,NA,NA,NA,NA,1048,0,0,0,0,0,0,0,0
L015,2014,NA,NA,NA,NA,1807,1,3,1,16844,0,0,0,0
L017,2014,NA,NA,NA,NA,1193,0,0,0,0,0,0,0,0
L018,2014,NA,NA,NA,NA,1162,0,0,0,0,0,0,0,0
L019,2014,NA,NA,NA,NA,1341,0,0,0,0,0,0,0,0
L020,2014,NA,NA,NA,NA,764,0,0,0,0,0,0,0,0
L021,2014,NA,NA,NA,NA,864,0,0,0,0,0,0,0,0
L022,2014,NA,NA,NA,NA,1345,1,3,1,18618.65514,1,1,1,1
L023,2014,NA,NA,NA,NA,1048,1,4,2,8444,1,2,2,1
L024,2014,NA,NA,NA,NA,743,0,0,0,0,0,0,0,0
L025,2014,NA,NA,NA,NA,1251,0,0,0,0,0,0,0,0
L026,2014,NA,NA,NA,NA,1534,0,0,0,0,0,0,0,0
L027,2014,NA,NA,NA,NA,1452,1,3,1,23348.59463,0,0,0,0
L028,2014,NA,NA,NA,NA,1247,1,4,2,11404,0,0,0,0
L029,2014,NA,NA,NA,NA,1573,0,0,0,0,0,0,0,0
L030,2014,NA,NA,NA,NA,1291,1,1,1,2243,1,3,3,1
L031,2014,NA,NA,NA,NA,1420,1,2,1,14394.33143,0,0,0,0
L032,2014,NA,NA,NA,NA,794,0,0,0,0,0,0,0,0
L033,2014,NA,NA,NA,NA,1227,0,0,0,0,0,0,0,0
L034,2014,NA,NA,NA,NA,1651,1,2,1,0,1,1,1,1
L035,2014,NA,NA,NA,NA,784,0,0,0,0,0,0,0,0
L036,2014,NA,NA,NA,NA,1383,1,1,1,2494.155332,0,0,0,0
L037,2014,NA,NA,NA,NA,1080,0,0,0,0,0,0,0,0
L038,2014,NA,NA,NA,NA,816,0,0,0,0,0,0,0,0
L039,2014,NA,NA,NA,NA,1123,0,0,0,0,1,1,1,0
L040,2014,NA,NA,NA,NA,1379,1,15,3,102556.1958,0,0,0,0
L041,2014,NA,NA,NA,NA,783,0,0,0,0,0,0,0,0
L042,2014,NA,NA,NA,NA,1111,0,0,0,0,0,0,0,0
L043,2014,NA,NA,NA,NA,1163,1,2,1,15836.56154,0,0,0,0
L044,2014,NA,NA,NA,NA,1208,1,3,1,13936.6218,0,0,0,0
L045,2014,NA,NA,NA,NA,1125,0,0,0,0,0,0,0,0
L046,2014,NA,NA,NA,NA,828,0,0,0,0,0,0,0,0
L047,2014,NA,NA,NA,NA,779,0,0,0,0,0,0,0,0
L048,2014,NA,NA,NA,NA,1318,1,7,3,49041.46581,1,1,1,1
L049,2015,NA,NA,NA,NA,1229,1,1,1,3085,0,0,0,0
L050,2015,NA,NA,NA,NA,780,0,0,0,0,0,0,0,0
L051,2015,NA,NA,NA,NA,1432,1,4,2,34942.15317,1,3,3,1
L052,2015,5,NA,NA,NA,757,0,0,0,0,0,0,0,0
L053,2015,12B,NA,NA,NA,1003,1,2,2,4972.478295,0,0,0,0
L054,2015,13,NA,NA,NA,1145,1,5,1,39979.04668,0,0,0,0
L056,2015,6,NA,NA,NA,1042,1,8,4,29428.29678,0,0,0,0
L057,2015,3A,NA,NA,NA,1076,0,0,0,2537.981492,1,3,3,0
L058,2015,NA,NA,NA,NA,1429,1,1,1,0,1,1,1,1
L059,2015,7B,NA,NA,NA,1403,1,1,1,2305.942517,0,0,0,0
L060,2015,NA,NA,NA,NA,1135,1,5,2,35819.55288,0,0,0,0
L061,2014,NA,NA,NA,NA,945,0,0,0,0,0,0,0,0
L062,2015,15B,NA,NA,NA,1241,1,1,0,5244.338528,1,4,4,1
L063,2015,NA,NA,NA,NA,834,0,0,0,0,0,0,0,0
L064,2015,10B,NA,NA,NA,1146,0,0,0,0,0,0,0,0
L065,2015,10B,NA,NA,NA,733,0,0,0,0,0,0,0,0
L067,2015,NA,NA,NA,NA,1089,1,1,1,3816.470216,0,0,0,0
L068,2015,NA,NA,NA,NA,793,0,0,0,0,0,0,0,0
L070,2015,16B,NA,NA,NA,905,0,0,0,0,0,0,0,0
L071,2015,NA,NA,NA,NA,1706,1,10,5,67406.31828,1,1,1,1
L072,2015,1,NA,NA,NA,1362,1,2,1,11916.21424,1,1,1,1
L073,2015,1,NA,NA,NA,1062,0,0,0,197,0,0,0,0
L074,2015,1,NA,NA,NA,989,1,1,0,0,0,0,0,0
L075,2015,15B,NA,NA,NA,929,0,0,0,0,1,2,2,0
L081,2015,5,NA,NA,NA,842,0,0,0,0,0,0,0,0
L082,2015,NA,NA,NA,NA,1000,0,0,0,0,0,0,0,0
L083,2015,10B?,NA,NA,NA,1604,1,7,3,34712,0,0,0,0
L084,2015,16B,NA,NA,NA,1212,0,0,0,0,0,0,0,0
L085,2015,2B,NA,NA,NA,1376,1,9,4,75187.66566,1,3,3,1
L086,2015,1,NA,NA,NA,843,0,0,0,0,0,0,0,0
L088,2015,NA,NA,NA,NA,599,0,0,0,0,0,0,0,0
L090,2015,NA,NA,NA,NA,641,0,0,0,0,0,0,0,0
L091,2015,NA,NA,NA,NA,777,0,0,0,0,0,0,0,0
L092,2015,NA,NA,NA,NA,1588,0,0,0,0,0,0,0,0
L094,2015,10C,NA,NA,NA,1506,1,6,3,44855.80159,1,6,6,1
L095,2015,12B,NA,NA,NA,1251,0,0,0,0,0,0,0,0
L096,2015,5,NA,NA,NA,766,0,0,0,0,0,0,0,0
L097,2015,5,NA,NA,NA,737,0,0,0,0,0,0,0,0
L098,2015,6,NA,NA,NA,1377,1,3,1,21785.41258,1,2,2,1
L100,2015,NA,NA,NA,NA,1413,1,13,8,55903.86027,0,0,0,0
L101,2015,19A,NA,NA,NA,1196,1,1,1,2967.137186,0,0,0,0
L102,2015,NA,NA,NA,NA,1480,1,4,2,27175.93287,0,0,0,0
L103,2015,17B,NA,NA,NA,917,0,0,0,0,0,0,0,0
L105,2015,20C,NA,NA,NA,1118,1,1,1,4447.289454,0,0,0,0
L106,2015,14,NA,NA,NA,1071,1,1,1,2416.013556,0,0,0,0
L107,2015,19A,NA,NA,NA,758,0,0,0,0,0,0,0,0
L108,2015,5,NA,NA,NA,903,0,0,0,0,0,0,0,0
L110,2015,1,NA,NA,NA,1458,0,0,0,0,1,1,1,0
L113,2015,NA,NA,NA,NA,885,0,0,0,0,0,0,0,0
L114,2015,NA,NA,NA,NA,1246,1,5,2,37315.01099,0,0,0,0
L115,2015,NA,NA,NA,NA,829,0,0,0,0,0,0,0,0
L116,2015,NA,NA,NA,NA,695,0,0,0,0,1,1,1,0
L118,2015,NA,NA,NA,NA,661,0,0,0,0,0,0,0,0
L119,2015,NA,NA,NA,NA,542,0,0,0,0,0,0,0,0
L120,2015,11,NA,NA,NA,1045,1,4,1,21020.93868,0,0,0,0
L121,2015,17B,NA,NA,NA,1178,0,0,0,0,0,0,0,0
L122,2015,7A,NA,NA,NA,1228,1,6,3,25188.21045,0,0,0,0
L123,2015,9D,NA,NA,NA,1396,1,3,3,6642.189551,1,4,4,1
L124,2015,14,NA,NA,NA,1215,1,9,5,93424.35529,0,0,0,0
L126,2015,16B,NA,NA,NA,891,1,3,2,8297,1,1,1,1
L132,2016,13,NA,NA,NA,778,0,0,0,0,1,1,1,0
L135,2016,16B,NA,NA,NA,1419,1,12,6,108440.3674,0,0,0,0
L136,2016,15B,NA,NA,NA,780,0,0,0,0,0,0,0,0
L138,2016,NA,NA,NA,NA,1091,1,16,7,96235,0,0,0,0
L141,2016,11,NA,NA,NA,655,0,0,0,0,0,0,0,0
L142,2016,15B,NA,NA,NA,1068,1,1,0,3476,0,0,0,0
L143,2016,5,NA,NA,NA,1052,1,2,1,12296.0617,0,0,0,0
L145,2016,16B,NA,NA,NA,850,0,0,0,0,0,0,0,0
L146,2016,NA,NA,NA,NA,1143,1,3,1,21764.99789,0,0,0,0
L147,2016,NA,NA,NA,NA,1424,1,11,3,79158.22126,1,2,2,1
L148,2016,NA,NA,NA,NA,3106,1,43,15,267502,1,3,3,1
L158,2016,Hotspot,NA,NA,NA,732,0,0,0,0,0,0,0,0
L160,2016,11,NA,NA,NA,1132,1,5,2,18890,0,0,0,0
L161,2016,5,NA,NA,NA,1520,1,13,6,68440,0,0,0,0
L162,2016,NA,NA,NA,NA,1867,1,90,40,508193,0,0,0,0
L163,2016,5,NA,NA,NA,635,0,0,0,0,0,0,0,0
L164,2016,10C,NA,NA,NA,720,0,0,0,0,0,0,0,0
L165,2016,zoo?,NA,NA,NA,934,1,1,0,2450,0,0,0,0
L166,2016,15B,NA,NA,NA,1073,1,3,1,17576.74154,0,0,0,0
L167,2017,NA,NA,NA,NA,1329,1,5,3,27539.2012,0,0,0,0
L168,2017,1,NA,NA,NA,679,0,0,0,0,0,0,0,0
L171,2017,NA,NA,NA,NA,987,0,0,0,0,0,0,0,0
L173,2017,1,NA,NA,NA,1051,0,0,0,0,1,2,2,0
L174,2017,1,NA,NA,NA,817,0,0,0,0,0,0,0,0
L184,2017,NA,NA,NA,NA,1601,1,21,7,136151.1165,1,2,2,1
L186,2017,NA,NA,NA,NA,500,0,0,0,0,0,0,0,0
L187,2017,1,NA,NA,NA,1087,0,0,0,0,0,0,0,0
L193,2017,19A,NA,NA,NA,1186,1,1,0,3074.649398,0,0,0,0
L195,2017,19A,NA,NA,NA,1180,0,0,0,0,1,2,2,0
L196,2017,18,NA,NA,NA,1423,1,7,NA,51182.11249,0,0,0,0
L201,2017,notes,NA,NA,NA,1136,1,3,1,20348.14306,1,1,1,1
L202,2017,NA,NA,NA,NA,1249,1,1,0,3178.59496,1,1,1,1
L204,2017,4A,NA,NA,NA,828,0,0,0,0,0,0,0,0
L207,2017,NA,NA,NA,NA,799,0,0,0,0,0,0,0,0
L211,2017,15B,NA,NA,NA,1248,1,3,1,15980.08048,1,1,1,1
L212,2017,5,NA,NA,NA,607,0,0,0,0,0,0,0,0
L213,2017,5,NA,NA,NA,717,0,0,0,0,0,0,0,0
L214,2017,5,NA,NA,NA,1307,1,1,0,3774.130343,0,0,0,0
L216,2017,2A,NA,NA,NA,1158,1,34,12,249030.5823,0,0,0,0
L232,2018,5,NA,NA,NA,671,0,0,0,0,0,0,0,0
L236,2018,NA,NA,NA,NA,1324,1,1,0,0,0,0,0,0
L241,2018,NA,NA,NA,NA,873,0,0,0,0,1,2,2,0
L244,2018,NA,NA,NA,NA,1406,1,16,6,142296.2948,0,0,0,0
L245,2018,NA,NA,NA,NA,1119,0,0,0,0,1,4,1,0
L249,2018,12B,NA,NA,NA,618,0,0,0,0,0,0,0,0
L251,2018,NA,NA,NA,NA,1229,1,1,0,3982.482653,0,0,0,0
L255,2018,NA,NA,NA,NA,1107,1,7,3,37434.53131,0,0,0,0
L256,2018,NA,NA,NA,NA,1915,1,2,1,11080.95272,0,0,0,0
L265,2018,notes,NA,NA,NA,1417,1,1,0,2424.154679,0,0,0,0
L268,2018,NA,NA,NA,NA,1497,1,4,1,16696.08024,0,0,0,0
L269,2018,4B,NA,NA,NA,1406,1,1,0,2754.111129,0,0,0,0
L273,2018,NA,NA,NA,NA,1166,1,13,4,94839.10054,0,0,0,0
